height,utc_time,bits,hex_bits,exponent,coefficient,target,bin_target,computational_complexity,hash_rate_tera
400000,2016-02-25 16:24:44,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400001,2016-02-25 16:58:35,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400002,2016-02-25 17:00:34,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400003,2016-02-25 17:03:47,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400004,2016-02-25 17:14:54,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400005,2016-02-25 17:44:07,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400006,2016-02-25 17:55:38,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400007,2016-02-25 17:56:26,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400008,2016-02-25 18:06:43,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400009,2016-02-25 18:08:39,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400010,2016-02-25 18:09:19,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400011,2016-02-25 18:25:54,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400012,2016-02-25 18:27:10,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400013,2016-02-25 18:29:43,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400014,2016-02-25 18:50:12,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400015,2016-02-25 18:50:21,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400016,2016-02-25 18:53:18,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400017,2016-02-25 19:09:40,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400018,2016-02-25 19:10:52,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400019,2016-02-25 19:14:30,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
400020,2016-02-25 19:58:19,403093919,0x1806b99f,18,06b99f,164898540577033087399552264895286015147022701908103004160,0b1101011100110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.022020257554882e+20,1170336.7095924802
